EXEC_FULLNAME,CO_PER_ROL,CONAME,SALARY,AGE,EXECRANKANN,TDC1,TDC1_PCT,GVKEY,EXECID,YEAR,GENDER,TICKER,stock_price,eps,pe_ratio,roa,roe
"John J. Morris, Jr.",48875,WASTE MANAGEMENT INC,586.827,45.0,5.0,2584.911,5.733,14477,45854,2015,MALE,WM,55.93,1.66,33.69277,0.03688,0.14088
David P. Steiner,27377,WASTE MANAGEMENT INC,1091.772,56.0,1.0,15797.506,53.883,14477,26530,2016,MALE,WM,71.78,2.66,26.98496,0.05667,0.22315
"James E. Trevathan, Jr.",29042,WASTE MANAGEMENT INC,676.885,63.0,3.0,4038.636,29.357,14477,28015,2016,MALE,WM,71.78,2.66,26.98496,0.05667,0.22315
Jeff M. Harris,43839,WASTE MANAGEMENT INC,608.846,61.0,4.0,1436.915,-45.273,14477,41316,2016,MALE,WM,71.78,2.66,26.98496,0.05667,0.22315
"James C. Fish, Jr.",47170,WASTE MANAGEMENT INC,705.996,54.0,2.0,2122.784,-29.332,14477,44318,2016,MALE,WM,71.78,2.66,26.98496,0.05667,0.22315
"John J. Morris, Jr.",48875,WASTE MANAGEMENT INC,593.462,46.0,5.0,3456.784,33.729,14477,45854,2016,MALE,WM,71.78,2.66,26.98496,0.05667,0.22315
"James E. Trevathan, Jr.",29042,WASTE MANAGEMENT INC,724.962,64.0,2.0,1701.084,-57.88,14477,28015,2017,MALE,WM,86.89,4.44,19.56982,0.08928,0.32381
Jeff M. Harris,43839,WASTE MANAGEMENT INC,673.0,62.0,3.0,3657.338,154.527,14477,41316,2017,MALE,WM,86.89,4.44,19.56982,0.08928,0.32381
"James C. Fish, Jr.",47170,WASTE MANAGEMENT INC,1076.923,55.0,1.0,6335.502,198.453,14477,44318,2017,MALE,WM,86.89,4.44,19.56982,0.08928,0.32381
"John J. Morris, Jr.",48875,WASTE MANAGEMENT INC,625.577,47.0,4.0,1490.078,-56.894,14477,45854,2017,MALE,WM,86.89,4.44,19.56982,0.08928,0.32381
Devina A. Rankin,60016,WASTE MANAGEMENT INC,470.077,41.0,5.0,1126.537,,14477,55040,2017,FEMALE,WM,86.89,4.44,19.56982,0.08928,0.32381
"James E. Trevathan, Jr.",29042,WASTE MANAGEMENT INC,752.231,65.0,2.0,3431.936,101.75,14477,28015,2018,MALE,WM,95.49,4.49,21.26726,0.08499,0.30677
Jeff M. Harris,43839,WASTE MANAGEMENT INC,704.289,63.0,3.0,4052.61,10.808,14477,41316,2018,MALE,WM,95.49,4.49,21.26726,0.08499,0.30677
"James C. Fish, Jr.",47170,WASTE MANAGEMENT INC,1157.692,56.0,1.0,9125.281,44.034,14477,44318,2018,MALE,WM,95.49,4.49,21.26726,0.08499,0.30677
"John J. Morris, Jr.",48875,WASTE MANAGEMENT INC,646.192,48.0,4.0,2826.739,89.704,14477,45854,2018,MALE,WM,95.49,4.49,21.26726,0.08499,0.30677
Devina A. Rankin,60016,WASTE MANAGEMENT INC,539.923,42.0,5.0,2512.312,123.012,14477,55040,2018,FEMALE,WM,95.49,4.49,21.26726,0.08499,0.30677
"James C. Fish, Jr.",47170,WASTE MANAGEMENT INC,1232.788,57.0,1.0,11298.101,23.811,14477,44318,2019,MALE,WM,121.7673,3.93,30.98405,0.0602,0.23628
"John J. Morris, Jr.",48875,WASTE MANAGEMENT INC,699.807,49.0,2.0,4041.242,42.965,14477,45854,2019,MALE,WM,121.7673,3.93,30.98405,0.0602,0.23628
Devina A. Rankin,60016,WASTE MANAGEMENT INC,618.208,43.0,3.0,3623.414,44.226,14477,55040,2019,FEMALE,WM,121.7673,3.93,30.98405,0.0602,0.23628
Steven R. Batchelor,63704,WASTE MANAGEMENT INC,535.397,61.0,5.0,2989.755,,14477,58212,2019,MALE,WM,121.7673,3.93,30.98405,0.0602,0.23628
Tara J. Hemmer,63705,WASTE MANAGEMENT INC,535.67,46.0,4.0,2999.373,,14477,58213,2019,FEMALE,WM,121.7673,3.93,30.98405,0.0602,0.23628
"James R. Moffett, Jr.",9283,FREEPORT-MCMORAN INC,2500.0,72.0,1.0,35511.717,74.608,14590,393,2010,MALE,FCX,120.78,9.34,12.93148,0.14755,0.34677
Richard C. Adkerson,9286,FREEPORT-MCMORAN INC,2500.0,63.0,2.0,35294.023,75.695,14590,1684,2010,MALE,FCX,120.78,9.34,12.93148,0.14755,0.34677
Michael J. Arnold,26841,FREEPORT-MCMORAN INC,550.0,57.0,4.0,8318.657,85.463,14590,26051,2010,MALE,FCX,120.78,9.34,12.93148,0.14755,0.34677
Kathleen Lynne Quirk,32528,FREEPORT-MCMORAN INC,650.0,46.0,3.0,9992.798,85.425,14590,31158,2010,FEMALE,FCX,120.78,9.34,12.93148,0.14755,0.34677
"James R. Moffett, Jr.",9283,FREEPORT-MCMORAN INC,2500.0,73.0,1.0,28728.801,-19.101,14590,393,2011,MALE,FCX,61.345,4.81,12.75364,0.14219,0.29152
Richard C. Adkerson,9286,FREEPORT-MCMORAN INC,2500.0,64.0,2.0,28435.834,-19.432,14590,1684,2011,MALE,FCX,61.345,4.81,12.75364,0.14219,0.29152
Michael J. Arnold,26841,FREEPORT-MCMORAN INC,550.0,58.0,4.0,6384.489,-23.251,14590,26051,2011,MALE,FCX,61.345,4.81,12.75364,0.14219,0.29152
Kathleen Lynne Quirk,32528,FREEPORT-MCMORAN INC,650.0,47.0,3.0,7843.688,-21.507,14590,31158,2011,FEMALE,FCX,61.345,4.81,12.75364,0.14219,0.29152
"James R. Moffett, Jr.",9283,FREEPORT-MCMORAN INC,2500.0,74.0,2.0,14208.694,-50.542,14590,393,2012,MALE,FCX,48.96,3.2,15.3,0.08581,0.17335
Richard C. Adkerson,9286,FREEPORT-MCMORAN INC,2500.0,65.0,1.0,14011.376,-50.726,14590,1684,2012,MALE,FCX,48.96,3.2,15.3,0.08581,0.17335
Michael J. Arnold,26841,FREEPORT-MCMORAN INC,550.0,59.0,4.0,4762.767,-25.401,14590,26051,2012,MALE,FCX,48.96,3.2,15.3,0.08581,0.17335
Kathleen Lynne Quirk,32528,FREEPORT-MCMORAN INC,650.0,48.0,3.0,4055.496,-48.296,14590,31158,2012,FEMALE,FCX,48.96,3.2,15.3,0.08581,0.17335
"James R. Moffett, Jr.",9283,FREEPORT-MCMORAN INC,2500.0,75.0,1.0,20195.819,42.137,14590,393,2013,MALE,FCX,38.0,2.65,14.33962,0.04188,0.12697
Richard C. Adkerson,9286,FREEPORT-MCMORAN INC,2500.0,66.0,2.0,55260.539,294.398,14590,1684,2013,MALE,FCX,38.0,2.65,14.33962,0.04188,0.12697
Michael J. Arnold,26841,FREEPORT-MCMORAN INC,550.0,60.0,5.0,4832.375,1.462,14590,26051,2013,MALE,FCX,38.0,2.65,14.33962,0.04188,0.12697
Kathleen Lynne Quirk,32528,FREEPORT-MCMORAN INC,650.0,49.0,4.0,6843.561,68.748,14590,31158,2013,FEMALE,FCX,38.0,2.65,14.33962,0.04188,0.12697
James C. Flores,49304,FREEPORT-MCMORAN INC,1461.795,54.0,3.0,3064.985,,14590,19144,2013,MALE,FCX,38.0,2.65,14.33962,0.04188,0.12697
"James R. Moffett, Jr.",9283,FREEPORT-MCMORAN INC,1354.167,76.0,1.0,8752.019,-56.664,14590,393,2014,MALE,FCX,39.32,-1.26,-31.20635,-0.02225,-0.07153
Richard C. Adkerson,9286,FREEPORT-MCMORAN INC,1354.167,67.0,2.0,12306.853,-77.729,14590,1684,2014,MALE,FCX,39.32,-1.26,-31.20635,-0.02225,-0.07153
Michael J. Arnold,26841,FREEPORT-MCMORAN INC,550.0,61.0,5.0,4387.021,-9.216,14590,26051,2014,MALE,FCX,39.32,-1.26,-31.20635,-0.02225,-0.07153
Kathleen Lynne Quirk,32528,FREEPORT-MCMORAN INC,650.0,50.0,4.0,5176.792,-24.355,14590,31158,2014,FEMALE,FCX,39.32,-1.26,-31.20635,-0.02225,-0.07153
James C. Flores,49304,FREEPORT-MCMORAN INC,1354.167,55.0,3.0,5784.778,88.738,14590,19144,2014,MALE,FCX,39.32,-1.26,-31.20635,-0.02225,-0.07153
"James R. Moffett, Jr.",9283,FREEPORT-MCMORAN INC,1250.0,77.0,1.0,22781.067,160.295,14590,393,2015,MALE,FCX,23.97,-11.31,-2.11936,-0.2627,-1.56311
Richard C. Adkerson,9286,FREEPORT-MCMORAN INC,1250.0,68.0,2.0,6701.115,-45.55,14590,1684,2015,MALE,FCX,23.97,-11.31,-2.11936,-0.2627,-1.56311
Michael J. Arnold,26841,FREEPORT-MCMORAN INC,550.0,62.0,5.0,3223.884,-26.513,14590,26051,2015,MALE,FCX,23.97,-11.31,-2.11936,-0.2627,-1.56311
Kathleen Lynne Quirk,32528,FREEPORT-MCMORAN INC,650.0,51.0,4.0,3763.832,-27.294,14590,31158,2015,FEMALE,FCX,23.97,-11.31,-2.11936,-0.2627,-1.56311
James C. Flores,49304,FREEPORT-MCMORAN INC,1250.0,56.0,3.0,6373.229,10.172,14590,19144,2015,MALE,FCX,23.97,-11.31,-2.11936,-0.2627,-1.56311
Richard C. Adkerson,9286,FREEPORT-MCMORAN INC,1250.0,69.0,1.0,13953.035,108.22,14590,1684,2016,MALE,FCX,16.42,-2.96,-5.5473,-0.11132,-0.6865
Michael J. Arnold,26841,FREEPORT-MCMORAN INC,550.0,63.0,3.0,7063.982,119.114,14590,26051,2016,MALE,FCX,16.42,-2.96,-5.5473,-0.11132,-0.6865
Kathleen Lynne Quirk,32528,FREEPORT-MCMORAN INC,650.0,52.0,2.0,8309.573,120.774,14590,31158,2016,FEMALE,FCX,16.42,-2.96,-5.5473,-0.11132,-0.6865
James C. Flores,49304,FREEPORT-MCMORAN INC,322.115,57.0,5.0,8020.939,25.854,14590,19144,2016,MALE,FCX,16.42,-2.96,-5.5473,-0.11132,-0.6865
"Harry Milton Conger, IV",55225,FREEPORT-MCMORAN INC,500.0,60.0,4.0,4518.734,,14590,51414,2016,MALE,FCX,16.42,-2.96,-5.5473,-0.11132,-0.6865
Richard C. Adkerson,9286,FREEPORT-MCMORAN INC,1541.667,70.0,1.0,4988.306,-64.249,14590,1684,2017,MALE,FCX,19.4458,1.21,16.07091,0.04871,0.22778
Michael J. Arnold,26841,FREEPORT-MCMORAN INC,550.0,64.0,3.0,3110.276,-55.97,14590,26051,2017,MALE,FCX,19.4458,1.21,16.07091,0.04871,0.22778
Kathleen Lynne Quirk,32528,FREEPORT-MCMORAN INC,775.0,53.0,2.0,4420.238,-46.805,14590,31158,2017,FEMALE,FCX,19.4458,1.21,16.07091,0.04871,0.22778
"Harry Milton Conger, IV",55225,FREEPORT-MCMORAN INC,541.666,61.0,4.0,1755.495,-61.151,14590,51414,2017,MALE,FCX,19.4458,1.21,16.07091,0.04871,0.22778
Richard C. Adkerson,9286,FREEPORT-MCMORAN INC,1600.0,71.0,1.0,11781.84,136.189,14590,1684,2018,MALE,FCX,20.25,1.8,11.25,0.06164,0.26556
Michael J. Arnold,26841,FREEPORT-MCMORAN INC,550.0,65.0,3.0,5349.791,72.004,14590,26051,2018,MALE,FCX,20.25,1.8,11.25,0.06164,0.26556
Kathleen Lynne Quirk,32528,FREEPORT-MCMORAN INC,800.0,54.0,2.0,5771.716,30.575,14590,31158,2018,FEMALE,FCX,20.25,1.8,11.25,0.06164,0.26556
"Harry Milton Conger, IV",55225,FREEPORT-MCMORAN INC,550.0,62.0,4.0,4046.08,130.481,14590,51414,2018,MALE,FCX,20.25,1.8,11.25,0.06164,0.26556
Richard C. Adkerson,9286,FREEPORT-MCMORAN INC,1600.0,72.0,1.0,11201.269,-4.928,14590,1684,2019,MALE,FCX,14.675,-0.17,-86.32353,-0.00586,-0.0257
Kathleen Lynne Quirk,32528,FREEPORT-MCMORAN INC,800.0,55.0,2.0,5343.82,-7.414,14590,31158,2019,FEMALE,FCX,14.675,-0.17,-86.32353,-0.00586,-0.0257
"Harry Milton Conger, IV",55225,FREEPORT-MCMORAN INC,550.0,63.0,3.0,5110.175,26.299,14590,51414,2019,MALE,FCX,14.675,-0.17,-86.32353,-0.00586,-0.0257
"William Robert Berkley, Jr.",10827,BERKLEY (W R) CORP,1000.0,65.0,1.0,10929.851,11.44,14822,124,2010,MALE,WRB,28.83,3.02,9.54636,0.02563,0.12133
James Gerald Shiel,25663,BERKLEY (W R) CORP,572.0,50.0,3.0,1284.202,10.687,14822,24978,2010,MALE,WRB,28.83,3.02,9.54636,0.02563,0.12133
Eugene George Ballard,25665,BERKLEY (W R) CORP,572.0,57.0,2.0,1311.748,11.392,14822,24980,2010,MALE,WRB,28.83,3.02,9.54636,0.02563,0.12133
Ira Seth Lederman,25666,BERKLEY (W R) CORP,572.0,56.0,4.0,1310.441,11.281,14822,24981,2010,MALE,WRB,28.83,3.02,9.54636,0.02563,0.12133
"William Robert Berkley, Jr.",29129,BERKLEY (W R) CORP,850.0,37.0,5.0,3221.066,19.43,14822,28092,2010,MALE,WRB,28.83,3.02,9.54636,0.02563,0.12133
"William Robert Berkley, Jr.",10827,BERKLEY (W R) CORP,1000.0,66.0,1.0,10275.64,-5.986,14822,124,2011,MALE,WRB,36.05,2.83,12.73852,0.02135,0.09849
James Gerald Shiel,25663,BERKLEY (W R) CORP,572.0,51.0,2.0,1281.592,-0.203,14822,24978,2011,MALE,WRB,36.05,2.83,12.73852,0.02135,0.09849
Eugene George Ballard,25665,BERKLEY (W R) CORP,572.0,58.0,4.0,1285.602,-1.993,14822,24980,2011,MALE,WRB,36.05,2.83,12.73852,0.02135,0.09849
Ira Seth Lederman,25666,BERKLEY (W R) CORP,572.0,57.0,3.0,1285.602,-1.895,14822,24981,2011,MALE,WRB,36.05,2.83,12.73852,0.02135,0.09849
"William Robert Berkley, Jr.",29129,BERKLEY (W R) CORP,850.0,38.0,5.0,3335.781,3.561,14822,28092,2011,MALE,WRB,36.05,2.83,12.73852,0.02135,0.09849
"William Robert Berkley, Jr.",10827,BERKLEY (W R) CORP,1000.0,67.0,1.0,22077.032,114.848,14822,124,2012,MALE,WRB,40.389,3.72,10.85726,0.02533,0.11857
James Gerald Shiel,25663,BERKLEY (W R) CORP,590.0,52.0,5.0,2355.471,83.793,14822,24978,2012,MALE,WRB,40.389,3.72,10.85726,0.02533,0.11857
Eugene George Ballard,25665,BERKLEY (W R) CORP,590.0,59.0,2.0,2372.836,84.57,14822,24980,2012,MALE,WRB,40.389,3.72,10.85726,0.02533,0.11857
Ira Seth Lederman,25666,BERKLEY (W R) CORP,590.0,58.0,4.0,2372.836,84.57,14822,24981,2012,MALE,WRB,40.389,3.72,10.85726,0.02533,0.11857
"William Robert Berkley, Jr.",29129,BERKLEY (W R) CORP,850.0,39.0,3.0,9088.459,172.454,14822,28092,2012,MALE,WRB,40.389,3.72,10.85726,0.02533,0.11857
"William Robert Berkley, Jr.",10827,BERKLEY (W R) CORP,1000.0,68.0,1.0,11159.578,-49.452,14822,124,2013,MALE,WRB,45.59,3.69,12.35501,0.02433,0.1153
James Gerald Shiel,25663,BERKLEY (W R) CORP,605.0,53.0,4.0,1410.542,-40.116,14822,24978,2013,MALE,WRB,45.59,3.69,12.35501,0.02433,0.1153
Eugene George Ballard,25665,BERKLEY (W R) CORP,605.0,60.0,2.0,1410.902,-40.539,14822,24980,2013,MALE,WRB,45.59,3.69,12.35501,0.02433,0.1153
Ira Seth Lederman,25666,BERKLEY (W R) CORP,605.0,59.0,5.0,1410.542,-40.555,14822,24981,2013,MALE,WRB,45.59,3.69,12.35501,0.02433,0.1153
"William Robert Berkley, Jr.",29129,BERKLEY (W R) CORP,850.0,40.0,3.0,4197.741,-53.812,14822,28092,2013,MALE,WRB,45.59,3.69,12.35501,0.02433,0.1153
"William Robert Berkley, Jr.",10827,BERKLEY (W R) CORP,1000.0,69.0,2.0,17673.794,58.373,14822,124,2014,MALE,WRB,54.14,5.07,10.6785,0.02988,0.14137
James Gerald Shiel,25663,BERKLEY (W R) CORP,625.0,54.0,4.0,2168.166,53.712,14822,24978,2014,MALE,WRB,54.14,5.07,10.6785,0.02988,0.14137
Eugene George Ballard,25665,BERKLEY (W R) CORP,625.0,61.0,1.0,2168.166,53.672,14822,24980,2014,MALE,WRB,54.14,5.07,10.6785,0.02988,0.14137
Ira Seth Lederman,25666,BERKLEY (W R) CORP,625.0,60.0,5.0,2168.166,53.712,14822,24981,2014,MALE,WRB,54.14,5.07,10.6785,0.02988,0.14137
"William Robert Berkley, Jr.",29129,BERKLEY (W R) CORP,850.0,41.0,3.0,8344.386,98.783,14822,28092,2014,MALE,WRB,54.14,5.07,10.6785,0.02988,0.14137
"William Robert Berkley, Jr.",10827,BERKLEY (W R) CORP,1000.0,70.0,3.0,16139.411,-8.682,14822,124,2015,MALE,WRB,58.46,4.06,14.39901,0.02318,0.10949
James Gerald Shiel,25663,BERKLEY (W R) CORP,645.833,55.0,5.0,2145.266,-1.056,14822,24978,2015,MALE,WRB,58.46,4.06,14.39901,0.02318,0.10949
Eugene George Ballard,25665,BERKLEY (W R) CORP,645.833,62.0,1.0,2145.266,-1.056,14822,24980,2015,MALE,WRB,58.46,4.06,14.39901,0.02318,0.10949
Ira Seth Lederman,25666,BERKLEY (W R) CORP,645.833,61.0,6.0,2145.266,-1.056,14822,24981,2015,MALE,WRB,58.46,4.06,14.39901,0.02318,0.10949
"William Robert Berkley, Jr.",29129,BERKLEY (W R) CORP,850.0,42.0,4.0,8260.165,-1.009,14822,28092,2015,MALE,WRB,58.46,4.06,14.39901,0.02318,0.10949
"Matthew Michael Ricciardi, Esq.",52656,BERKLEY (W R) CORP,332.692,47.0,2.0,1493.748,,14822,49174,2015,MALE,WRB,58.46,4.06,14.39901,0.02318,0.10949
"William Robert Berkley, Jr.",10827,BERKLEY (W R) CORP,1000.0,71.0,1.0,12436.95,-22.94,14822,124,2016,MALE,WRB,66.91,4.91,13.62729,0.02576,0.11926
James Gerald Shiel,25663,BERKLEY (W R) CORP,650.0,56.0,5.0,2140.094,-0.241,14822,24978,2016,MALE,WRB,66.91,4.91,13.62729,0.02576,0.11926
Eugene George Ballard,25665,BERKLEY (W R) CORP,650.0,63.0,3.0,1915.094,-10.729,14822,24980,2016,MALE,WRB,66.91,4.91,13.62729,0.02576,0.11926
Ira Seth Lederman,25666,BERKLEY (W R) CORP,650.0,62.0,6.0,2148.821,0.166,14822,24981,2016,MALE,WRB,66.91,4.91,13.62729,0.02576,0.11926
"William Robert Berkley, Jr.",29129,BERKLEY (W R) CORP,993.769,43.0,2.0,10363.29,25.461,14822,28092,2016,MALE,WRB,66.91,4.91,13.62729,0.02576,0.11926
Richard Mark Baio,54753,BERKLEY (W R) CORP,497.981,47.0,4.0,1409.176,,14822,51013,2016,MALE,WRB,66.91,4.91,13.62729,0.02576,0.11926
"William Robert Berkley, Jr.",10827,BERKLEY (W R) CORP,1000.0,72.0,2.0,12214.097,-1.792,14822,124,2017,MALE,WRB,73.17,4.4,16.62955,0.0226,0.10147
James Gerald Shiel,25663,BERKLEY (W R) CORP,650.0,57.0,4.0,2152.109,0.561,14822,24978,2017,MALE,WRB,73.17,4.4,16.62955,0.0226,0.10147
Ira Seth Lederman,25666,BERKLEY (W R) CORP,650.0,63.0,5.0,2152.109,0.153,14822,24981,2017,MALE,WRB,73.17,4.4,16.62955,0.0226,0.10147
"William Robert Berkley, Jr.",29129,BERKLEY (W R) CORP,1000.0,44.0,1.0,10279.539,-0.808,14822,28092,2017,MALE,WRB,73.17,4.4,16.62955,0.0226,0.10147
Richard Mark Baio,54753,BERKLEY (W R) CORP,550.0,48.0,3.0,1579.998,12.122,14822,51013,2017,MALE,WRB,73.17,4.4,16.62955,0.0226,0.10147
"William Robert Berkley, Jr.",10827,BERKLEY (W R) CORP,1000.0,73.0,3.0,12325.841,0.915,14822,124,2018,MALE,WRB,80.68,5.06,15.94466,0.02574,0.11783
James Gerald Shiel,25663,BERKLEY (W R) CORP,650.0,58.0,4.0,2263.667,5.184,14822,24978,2018,MALE,WRB,80.68,5.06,15.94466,0.02574,0.11783
Ira Seth Lederman,25666,BERKLEY (W R) CORP,650.0,64.0,5.0,2263.507,5.176,14822,24981,2018,MALE,WRB,80.68,5.06,15.94466,0.02574,0.11783
"William Robert Berkley, Jr.",29129,BERKLEY (W R) CORP,1000.0,45.0,2.0,11852.862,15.305,14822,28092,2018,MALE,WRB,80.68,5.06,15.94466,0.02574,0.11783
Richard Mark Baio,54753,BERKLEY (W R) CORP,591.667,49.0,6.0,1878.105,18.868,14822,51013,2018,MALE,WRB,80.68,5.06,15.94466,0.02574,0.11783
Lucille T. Sgaglione,62079,BERKLEY (W R) CORP,650.0,68.0,1.0,2136.534,,14822,56817,2018,FEMALE,WRB,80.68,5.06,15.94466,0.02574,0.11783
"William Robert Berkley, Jr.",10827,BERKLEY (W R) CORP,1000.0,74.0,3.0,11289.025,-8.412,14822,124,2019,MALE,WRB,77.54,3.58,21.65922,0.0256,0.11226
James Gerald Shiel,25663,BERKLEY (W R) CORP,650.0,59.0,4.0,2134.095,-5.724,14822,24978,2019,MALE,WRB,77.54,3.58,21.65922,0.0256,0.11226
Ira Seth Lederman,25666,BERKLEY (W R) CORP,650.0,65.0,5.0,2133.615,-5.739,14822,24981,2019,MALE,WRB,77.54,3.58,21.65922,0.0256,0.11226
"William Robert Berkley, Jr.",29129,BERKLEY (W R) CORP,1000.0,46.0,2.0,11017.931,-7.044,14822,28092,2019,MALE,WRB,77.54,3.58,21.65922,0.0256,0.11226
Richard Mark Baio,54753,BERKLEY (W R) CORP,625.0,50.0,6.0,1990.846,6.003,14822,51013,2019,MALE,WRB,77.54,3.58,21.65922,0.0256,0.11226
Lucille T. Sgaglione,62079,BERKLEY (W R) CORP,650.0,69.0,1.0,2070.731,-3.08,14822,56817,2019,FEMALE,WRB,77.54,3.58,21.65922,0.0256,0.11226
"Jacob Ferdinand Scherer, Jr.",18203,CINCINNATI FINANCIAL CORP,666.659,57.0,2.0,876.675,16.144,14824,18259,2010,MALE,CINF,32.27,2.32,13.90948,0.02498,0.07492
Kenneth William Stecher,25046,CINCINNATI FINANCIAL CORP,935.576,63.0,1.0,1274.209,20.134,14824,24439,2010,MALE,CINF,32.27,2.32,13.90948,0.02498,0.07492
"Thomas Anthony Joseph, CPCU",28419,CINCINNATI FINANCIAL CORP,550.976,54.0,4.0,717.961,12.98,14824,27474,2010,MALE,CINF,32.27,2.32,13.90948,0.02498,0.07492
"Steven Justus Johnston, C.F.A., FCAS, MAAA, CFA, C",37114,CINCINNATI FINANCIAL CORP,595.038,50.0,3.0,825.805,17.243,14824,35236,2010,MALE,CINF,32.27,2.32,13.90948,0.02498,0.07492
"Martin Francis Hollenbeck, C.P.C.U., CFA, C.F.A.,",44124,CINCINNATI FINANCIAL CORP,494.262,50.0,5.0,685.281,,14824,41573,2010,MALE,CINF,32.27,2.32,13.90948,0.02498,0.07492
"Jacob Ferdinand Scherer, Jr.",18203,CINCINNATI FINANCIAL CORP,734.177,58.0,2.0,1487.074,69.627,14824,18259,2011,MALE,CINF,34.33,1.02,33.65686,0.01059,0.03284
Kenneth William Stecher,25046,CINCINNATI FINANCIAL CORP,651.648,64.0,3.0,1712.654,34.409,14824,24439,2011,MALE,CINF,34.33,1.02,33.65686,0.01059,0.03284
"Thomas Anthony Joseph, CPCU",28419,CINCINNATI FINANCIAL CORP,570.244,55.0,4.0,1089.272,51.717,14824,27474,2011,MALE,CINF,34.33,1.02,33.65686,0.01059,0.03284
"Steven Justus Johnston, C.F.A., FCAS, MAAA, CFA, C",37114,CINCINNATI FINANCIAL CORP,743.635,51.0,1.0,1754.486,112.458,14824,35236,2011,MALE,CINF,34.33,1.02,33.65686,0.01059,0.03284
"Martin Francis Hollenbeck, C.P.C.U., CFA, C.F.A.,",44124,CINCINNATI FINANCIAL CORP,520.0,51.0,,,,14824,41573,2011,MALE,CINF,34.33,1.02,33.65686,0.01059,0.03284
"Michael James Sewell, CPA, CPA",45933,CINCINNATI FINANCIAL CORP,414.615,47.0,5.0,1090.178,,14824,43216,2011,MALE,CINF,34.33,1.02,33.65686,0.01059,0.03284
"Jacob Ferdinand Scherer, Jr.",18203,CINCINNATI FINANCIAL CORP,750.0,59.0,2.0,1683.804,13.229,14824,18259,2012,MALE,CINF,40.96,2.59,15.81467,0.02544,0.07721
Kenneth William Stecher,25046,CINCINNATI FINANCIAL CORP,500.0,65.0,5.0,1203.439,-29.733,14824,24439,2012,MALE,CINF,40.96,2.59,15.81467,0.02544,0.07721
"Thomas Anthony Joseph, CPCU",28419,CINCINNATI FINANCIAL CORP,446.326,56.0,6.0,1272.743,16.843,14824,27474,2012,MALE,CINF,40.96,2.59,15.81467,0.02544,0.07721
"Steven Justus Johnston, C.F.A., FCAS, MAAA, CFA, C",37114,CINCINNATI FINANCIAL CORP,800.0,52.0,1.0,1973.639,12.491,14824,35236,2012,MALE,CINF,40.96,2.59,15.81467,0.02544,0.07721
"Martin Francis Hollenbeck, C.P.C.U., CFA, C.F.A.,",44124,CINCINNATI FINANCIAL CORP,558.077,52.0,4.0,1259.496,,14824,41573,2012,MALE,CINF,40.96,2.59,15.81467,0.02544,0.07721
"Michael James Sewell, CPA, CPA",45933,CINCINNATI FINANCIAL CORP,700.0,48.0,3.0,1638.566,50.303,14824,43216,2012,MALE,CINF,40.96,2.59,15.81467,0.02544,0.07721
"Charles P. Stoneburner, II, CPCU, AIM",50175,CINCINNATI FINANCIAL CORP,546.308,59.0,,,,14824,46998,2012,MALE,CINF,40.96,2.59,15.81467,0.02544,0.07721
"John Jefferson Schiff, Jr., CPCU",5044,CINCINNATI FINANCIAL CORP,256.481,69.0,,,,14824,1368,2013,MALE,CINF,53.74,3.16,17.00633,0.02927,0.08517
"Jacob Ferdinand Scherer, Jr.",18203,CINCINNATI FINANCIAL CORP,813.462,60.0,2.0,2394.851,42.229,14824,18259,2013,MALE,CINF,53.74,3.16,17.00633,0.02927,0.08517
Kenneth William Stecher,25046,CINCINNATI FINANCIAL CORP,521.154,66.0,5.0,1759.824,46.233,14824,24439,2013,MALE,CINF,53.74,3.16,17.00633,0.02927,0.08517
"Steven Justus Johnston, C.F.A., FCAS, MAAA, CFA, C",37114,CINCINNATI FINANCIAL CORP,884.615,53.0,1.0,3501.957,77.437,14824,35236,2013,MALE,CINF,53.74,3.16,17.00633,0.02927,0.08517
"Martin Francis Hollenbeck, C.P.C.U., CFA, C.F.A.,",44124,CINCINNATI FINANCIAL CORP,594.615,53.0,4.0,1800.893,42.985,14824,41573,2013,MALE,CINF,53.74,3.16,17.00633,0.02927,0.08517
"Michael James Sewell, CPA, CPA",45933,CINCINNATI FINANCIAL CORP,729.615,49.0,3.0,2246.702,37.114,14824,43216,2013,MALE,CINF,53.74,3.16,17.00633,0.02927,0.08517
"Charles P. Stoneburner, II, CPCU, AIM",50175,CINCINNATI FINANCIAL CORP,592.308,60.0,,,,14824,46998,2013,MALE,CINF,53.74,3.16,17.00633,0.02927,0.08517
"John Jefferson Schiff, Jr., CPCU",5044,CINCINNATI FINANCIAL CORP,0.0,70.0,6.0,126.523,,14824,1368,2014,MALE,CINF,55.35,3.21,17.24299,0.028,0.07987
"Jacob Ferdinand Scherer, Jr.",18203,CINCINNATI FINANCIAL CORP,845.942,61.0,2.0,1748.614,-26.984,14824,18259,2014,MALE,CINF,55.35,3.21,17.24299,0.028,0.07987
Kenneth William Stecher,25046,CINCINNATI FINANCIAL CORP,0.0,67.0,7.0,977.185,-44.473,14824,24439,2014,MALE,CINF,55.35,3.21,17.24299,0.028,0.07987
"Steven Justus Johnston, C.F.A., FCAS, MAAA, CFA, C",37114,CINCINNATI FINANCIAL CORP,922.846,54.0,1.0,2623.807,-25.076,14824,35236,2014,MALE,CINF,55.35,3.21,17.24299,0.028,0.07987
